competition,year,topic,name,pages,size,converted,path,sha256
MathorCup,2019,A题,A900494-PPT.pdf,46,4234089,False,6-1优秀论文库/MathorCup/2019/A题/A900494-PPT.pdf,b509879ee8cdd65cb6caaea2e804b5f9f4bac69feeea37a8e72e05a671f21175
MathorCup,2019,D题,D904604-PPT.pdf,36,1979031,False,6-1优秀论文库/MathorCup/2019/D题/D904604-PPT.pdf,66bc07ebabe6f85068068f7ae6cf8be740682d08daf8e359d2ac72865862e550
MathorCup,2019,D题,D903462-PPT.pdf,25,12093592,False,6-1优秀论文库/MathorCup/2019/D题/D903462-PPT.pdf,835444a80aa1fc188ecd12a3e85b2635cf041326e43e449d1b6dca2b7b7598f1
MathorCup,第一届（年份待核实）,综合,A（Word转PDF）.pdf,1,84844,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/A（Word转PDF）.pdf,78b78415a24fcac871afbd74e18c590a9e04d5d9229250cf50eba83cd8ef5a43
MathorCup,第一届（年份待核实）,综合,Formate（Word转PDF）.pdf,1,62164,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/Formate（Word转PDF）.pdf,8bb8dab0f587ce5cd3da7b03e8ffe2cb6a3d202e62763c1b81b2c274de9fc043
MathorCup,第一届（年份待核实）,综合,承诺书（Word转PDF）.pdf,1,73726,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/承诺书（Word转PDF）.pdf,d1cb64415b3e9972d763ae1fc7a2b03941e29f1c2e6a3ac31a8bcdb179e9fffe
MathorCup,第一届（年份待核实）,综合,论文格式（Word转PDF）.pdf,1,161778,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/论文格式（Word转PDF）.pdf,03277540c24ef924ba88114fee81566070a84d047ed56a94c915b91cfd867401
MathorCup,第一届（年份待核实）,B题,B（Word转PDF）.pdf,1,118678,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/B题/B（Word转PDF）.pdf,987b43f8808a50a65f6466c40aa1d4707594552d9f8eb6dd803f402c5dd0cba9
MathorCup,第一届（年份待核实）,综合,Commitment（Word转PDF）.pdf,1,82091,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/Commitment（Word转PDF）.pdf,784c85aed453c3f3fa64402ca5de499afba11064c8813e06a3ff149c2d3fa06e
MathorCup,第一届（年份待核实）,综合,C（Word转PDF）.pdf,1,143088,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/C（Word转PDF）.pdf,491274ad56283514d2bd20525ce81c75a95edb0c4461c2cad1ba110450b1a192
MathorCup,第一届（年份待核实）,综合,Paper（Word转PDF）.pdf,2,41646,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/Paper（Word转PDF）.pdf,51f6371ceed99e8d453179e51f4c0feb3a9b8fba508930e1b24b9543613d3d95
MathorCup,第一届（年份待核实）,综合,论文（Word转PDF）.pdf,2,68511,True,6-1优秀论文库/MathorCup/第一届（年份待核实）/综合/论文（Word转PDF）.pdf,625b50639060f4a35771e61960f70f513394e534f0a2b437d47723055b92c3c2
MathorCup,第三届（年份待核实）,A题,1149中文版（Word转PDF）.pdf,25,1162270,True,6-1优秀论文库/MathorCup/第三届（年份待核实）/A题/1149中文版（Word转PDF）.pdf,4879517b9b98a01233a3e8c87a5cabe7094bb4c952d453735fb71b6029c157e6
MathorCup,第三届（年份待核实）,A题,1206c.pdf,20,366399,False,6-1优秀论文库/MathorCup/第三届（年份待核实）/A题/1206c.pdf,0f692475d6e615f2b54f9997c1802e72501b54c07464b504a761c74717bbe156
